"","GSM1625995","GSM1625996","GSM1625997","GSM1625998","GSM1625999","GSM1626000","GSM1626001","GSM1626002","GSM1626003","GSM1626004","GSM1626005","GSM1626006","GSM1626007","GSM1626008","GSM1626009","GSM1626010","GSM1626011","GSM1626012"
"A_24_P744148",7.55787414242574,7.61925584843301,7.83682620885006,7.9512685171413,7.94779518663215,7.79853544696132,7.96249886035522,7.9348805452572,7.92041877072659,7.62013626282715,7.58098689066533,7.6104456949514,7.82610160087415,7.99508323288933,7.93808352149744,7.83787755390446,7.85591173936753,7.84924458532177
"A_23_P165346",13.0884515229411,13.0438665643076,13.1913111981144,13.1082059319269,13.1913111981144,13.1593537073965,13.5238471374335,13.4655480140533,13.5108630773451,13.0811403884968,13.1132258061799,13.0877013592439,13.046223124763,13.2406456346426,13.1488949632823,13.4443096579826,13.4123412610106,13.3729776674516
"A_32_P170104",9.13331543630822,8.96431188539375,9.25842785984108,9.04598478465552,9.01320191331149,9.21774670777126,8.61241082913829,8.31174550018091,8.4121585658442,8.69356790525742,8.94794473426344,9.01841642991871,8.82745432773455,9.01128078726686,9.20120643979529,8.46096443635239,8.97085158778082,8.4468691700305
"A_23_P5441",11.6152083836479,11.5777186698248,11.4308380955995,10.9840363126896,11.1674227213831,10.9900336922914,11.1064211554116,11.317469673455,11.3214829275971,11.5631453484553,11.4218185006257,11.4367116197348,11.1446748147317,10.9133089882533,11.0616469578135,11.2194544683461,10.9846064902274,11.1886985201132
"A_23_P65157",13.147853295998,13.1593537073965,13.2060172272581,13.2083309380779,13.1044522819845,13.0877013592439,12.8017381556881,12.7757120579631,12.676555881116,13.3657141658099,13.1819321805388,13.1664412467103,13.0322313953831,13.1028314695632,13.0774639259044,12.7402364118362,12.7546312649226,12.8552838342079
"A_32_P145764",10.1016141679051,9.99274554248517,9.86493344780709,10.11029983808,10.1057452469204,10.0689373180014,10.0390575103235,9.90269669824085,9.68690113076729,9.82901470260937,9.93940706760944,9.91004408322808,9.86077731487925,9.6830144829219,9.53871162002027,9.4034338925541,9.82029289794555,9.90110538369916
"A_23_P360482",9.49604587341529,9.67513423925957,9.84145265408666,10.2750984954495,10.3394711464034,9.89910381982136,10.1706895958277,10.2064480844949,10.1447901448542,9.25397152007879,9.2111426859285,9.18678635772307,9.81002055625736,10.0426145065214,9.78502737528877,9.99592182753668,10.1230766752264,10.1008846993868
"A_23_P116091",10.3287687248841,10.1288484646321,10.5044474601112,10.4793090255854,10.4263898840758,10.01889802948,10.0859783162943,10.6880815716383,10.6441713474182,10.5538624542861,10.512927880567,10.5792050976167,10.2013561040014,10.2458300580257,10.3686088117504,10.383350225023,9.85726493954699,10.0197928538894
"A_23_P256804",11.9736655948318,11.9545377586259,11.9893137832004,11.8440336015355,11.8180476407964,11.8257629807957,11.5989126920257,11.5650577643495,11.5581838326995,12.0109632704521,11.9893137832004,11.9536994547798,11.7403062279011,11.8931731701442,11.8708015711397,11.5977171446098,11.5395256656875,11.6421766865486
"A_32_P66072",8.0148043138328,8.10214134763482,8.04942052380066,8.18595247416927,8.13532389539053,8.14383536942417,7.73330312624929,7.7395362357775,7.76151282604892,8.13293268684718,8.09835683814983,8.07084010438209,8.0562521976119,8.18168344323166,8.12131475347764,7.51860843951564,7.75685309742346,8.19780601703537
